Name,Year,Tenure,Percent_of_population_in_borough
Tower Hamlets,2018,Rented.from.Local.Authority.or.Housing.Association,35.1
Waltham Forest,2018,Rented.from.Local.Authority.or.Housing.Association,19.5
Wandsworth,2018,Rented.from.Local.Authority.or.Housing.Association,16
Westminster,2018,Rented.from.Local.Authority.or.Housing.Association,27.1
Inner London,2018,Rented.from.Local.Authority.or.Housing.Association,30.9
Outer London,2018,Rented.from.Local.Authority.or.Housing.Association,16.5
North East,2018,Rented.from.Local.Authority.or.Housing.Association,19.9
North West,2018,Rented.from.Local.Authority.or.Housing.Association,14.8
Yorkshire and The Humber,2018,Rented.from.Local.Authority.or.Housing.Association,15.2
East Midlands,2018,Rented.from.Local.Authority.or.Housing.Association,14.7
West Midlands,2018,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2018,Rented.from.Local.Authority.or.Housing.Association,14.9
London,2018,Rented.from.Local.Authority.or.Housing.Association,22.3
South East,2018,Rented.from.Local.Authority.or.Housing.Association,11.5
South West,2018,Rented.from.Local.Authority.or.Housing.Association,12.2
Wales,2018,Rented.from.Local.Authority.or.Housing.Association,14.7
Scotland,2018,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2018,Rented.from.Local.Authority.or.Housing.Association,12
UK,2018,Rented.from.Local.Authority.or.Housing.Association,16
City of London,2017,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2017,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2017,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2017,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2017,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2017,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2017,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2017,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2017,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2017,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2017,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2017,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2017,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2017,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2017,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2017,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2017,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2017,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2017,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2017,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2017,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2017,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2017,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2017,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2017,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2017,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2017,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2017,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2017,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2017,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2017,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2017,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2017,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2017,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2017,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2017,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2017,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2017,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2017,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2017,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2017,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2017,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2017,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2017,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2017,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2017,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2017,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2017,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2016,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2016,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2016,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2016,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2016,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2016,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2016,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2016,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2016,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2016,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2016,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2016,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2016,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2016,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2016,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2016,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2016,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2016,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2016,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2016,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2016,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2016,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2016,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2016,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2016,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2016,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2016,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2016,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2016,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2016,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2016,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2016,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2016,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2016,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2016,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2016,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2016,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2016,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2016,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2016,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2016,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2016,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2016,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2016,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2016,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2016,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2016,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2016,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2015,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2015,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2015,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2015,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2015,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2015,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2015,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2015,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2015,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2015,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2015,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2015,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2015,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2015,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2015,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2015,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2015,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2015,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2015,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2015,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2015,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2015,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2015,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2015,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2015,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2015,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2015,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2015,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2015,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2015,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2015,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2015,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2015,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2015,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2015,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2015,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2015,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2015,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2015,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2015,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2015,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2015,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2015,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2015,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2015,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2015,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2015,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2015,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2014,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2014,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2014,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2014,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2014,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2014,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2014,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2014,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2014,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2014,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2014,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2014,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2014,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2014,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2014,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2014,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2014,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2014,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2014,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2014,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2014,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2014,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2014,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2014,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2014,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2014,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2014,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2014,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2014,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2014,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2014,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2014,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2014,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2014,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2014,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2014,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2014,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2014,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2014,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2014,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2014,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2014,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2014,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2014,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2014,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2014,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2014,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2014,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2013,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2013,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2013,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2013,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2013,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2013,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2013,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2013,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2013,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2013,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2013,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2013,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2013,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2013,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2013,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2013,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2013,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2013,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2013,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2013,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2013,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2013,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2013,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2013,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2013,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2013,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2013,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2013,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2013,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2013,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2013,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2013,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2013,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2013,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2013,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2013,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2013,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2013,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2013,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2013,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2013,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2013,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2013,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2013,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2013,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2013,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2013,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2013,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2012,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2012,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2012,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2012,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2012,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2012,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2012,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2012,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2012,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2012,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2012,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2012,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2012,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2012,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2012,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2012,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2012,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2012,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2012,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2012,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2012,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2012,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2012,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2012,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2012,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2012,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2012,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2012,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2012,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2012,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2012,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2012,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2012,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2012,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2012,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2012,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2012,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2012,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2012,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2012,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2012,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2012,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2012,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2012,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2012,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2012,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2012,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2012,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2011,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2011,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2011,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2011,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2011,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2011,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2011,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2011,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2011,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2011,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2011,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2011,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2011,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2011,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2011,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2011,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2011,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2011,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2011,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2011,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2011,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2011,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2011,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2011,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2011,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2011,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2011,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2011,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2011,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2011,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2011,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2011,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2011,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2011,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2011,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2011,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2011,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2011,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2011,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2011,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2011,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2011,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2011,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2011,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2011,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2011,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2011,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2011,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2010,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2010,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2010,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2010,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2010,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2010,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2010,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2010,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2010,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2010,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2010,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2010,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2010,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2010,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2010,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2010,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2010,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2010,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2010,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2010,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2010,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2010,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2010,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2010,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2010,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2010,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2010,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2010,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2010,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2010,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2010,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2010,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2010,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2010,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2010,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2010,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2010,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2010,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2010,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2010,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2010,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2010,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2010,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2010,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2010,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2010,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2010,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2010,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2009,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2009,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2009,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2009,Rented.from.Local.Authority.or.Housing.Association,12.1
